week,soldout,kcal,event,payday,weather,precipitation,temperature,holiday,kcal_isna,carry,remarks_isna,event_isna,weather_before1,payday_before1,payday_after1,year,month,quarter,day,sale_before1,moving_avg,temperature_avg,y
0,0,398.97058823529414,0,0,0,0,19.8,1,1,0,1,1,0,0,0,2013,131.66666666666666,4,0.5666666666666667,101.0,134.32142857142858,1.5581787521079258,90
3,1,406.7142857142857,0,0,0,0,17.0,0,1,0,1,1,0,0,0,2013,131.66666666666666,4,0.6,118.0,134.32142857142858,1.3378302417088253,101
2,0,406.6216216216216,0,0,0,0,15.5,0,1,0,1,1,0,0,0,2013,122.125,4,0.6333333333333333,120.0,134.32142857142858,1.219786396852164,118
1,1,403.5405405405405,0,0,0,0,15.2,0,1,0,1,1,0,0,0,2013,131.66666666666666,4,0.6666666666666666,130.0,134.32142857142858,1.1961776278808318,120
4,1,406.7826086956522,0,0,0,0,16.1,2,1,0,1,1,1,0,0,2013,120.14285714285714,4,0.7,135.0,120.8,1.2670039347948288,130
0,1,398.97058823529414,0,0,1,0,14.6,1,1,0,1,1,0,0,0,2013,120.14285714285714,4,0.8,145.0,129.6,1.1489600899381676,135
3,0,406.7142857142857,0,0,0,0,17.9,0,1,0,1,1,0,0,0,2013,131.66666666666666,4,0.8333333333333334,140.0,134.0,1.4086565486228217,145
2,1,406.6216216216216,0,0,0,0,14.7,0,1,0,1,1,1,0,0,2013,120.14285714285714,4,0.8666666666666667,151.0,140.2,1.1568296795952782,140
1,0,403.5405405405405,0,0,1,0,17.7,0,1,0,1,1,0,0,0,2013,122.125,4,0.9,116.0,137.4,1.3929173693086003,151
4,0,406.7826086956522,0,0,0,0,12.1,2,1,0,1,1,0,0,0,2013,125.55555555555556,4,0.9333333333333333,151.0,140.6,0.952220348510399,116
0,1,398.97058823529414,0,0,0,0,13.8,1,1,0,1,1,0,0,0,2013,145.41666666666666,4,0.03333333333333333,153.0,142.2,1.0860033726812817,151
3,1,406.7142857142857,0,0,0,0,13.9,0,1,0,1,1,0,0,0,2013,134.5,4,0.06666666666666667,151.0,144.4,1.0938729623383923,153
2,1,406.6216216216216,0,0,0,0,13.5,0,1,0,1,1,0,0,0,2013,139.08333333333334,4,0.1,171.0,148.4,1.0623946037099494,151
1,0,403.5405405405405,0,0,0,0,13.8,0,1,0,1,1,0,0,0,2013,134.5,4,0.13333333333333333,134.0,152.0,1.0860033726812817,171
4,0,406.7826086956522,0,0,0,0,14.9,2,1,0,1,1,1,0,0,2013,145.41666666666666,4,0.16666666666666666,165.0,154.8,1.1725688589094998,134
0,1,398.97058823529414,0,0,1,0,9.1,1,1,0,1,1,1,1,0,2013,139.08333333333334,4,0.26666666666666666,155.0,155.2,0.716132658797077,165
3,0,406.7142857142857,0,1,1,0.5,7.1,0,1,0,1,1,1,0,0,2013,139.08333333333334,4,0.3,157.0,156.4,0.5587408656548623,155
2,0,406.6216216216216,0,0,1,0,11.0,0,1,0,1,1,0,0,1,2013,134.5,4,0.3333333333333333,109.0,144.0,0.865654862282181,157
1,0,403.5405405405405,0,0,0,0,12.3,0,1,0,1,1,0,0,0,2013,139.08333333333334,4,0.36666666666666664,111.0,139.4,0.9679595278246206,109
4,1,406.7826086956522,0,0,0,0,13.9,2,1,0,1,1,0,0,0,2013,145.41666666666666,4,0.4,160.0,138.4,1.0938729623383923,111
0,0,398.97058823529414,0,0,0,0,11.3,1,1,0,1,1,1,0,0,2013,145.41666666666666,4,0.5,145.0,136.4,0.8892636312535133,160
3,0,406.7142857142857,2,0,1,0,10.8,0,1,0,1,0,1,0,0,2013,140.5,4,0.5333333333333333,145.0,134.0,0.8499156829679596,145
2,1,406.6216216216216,0,0,1,0,7.8,0,1,0,1,1,2,0,0,2013,139.08333333333334,4,0.5666666666666667,151.0,142.4,0.6138279932546374,145
1,0,403.5405405405405,0,0,2,0.5,6.8,0,1,0,1,1,1,0,0,2013,134.5,4,0.6,134.0,147.0,0.53513209668353,151
4,1,406.7826086956522,0,0,1,0,8.4,2,1,0,1,1,0,0,0,2013,145.41666666666666,4,0.6333333333333333,122.0,139.4,0.6610455311973019,134
3,0,406.7142857142857,0,0,0,0,11.5,0,1,0,1,1,0,0,0,2013,140.5,4,0.7666666666666667,121.0,134.6,0.9050028105677347,122
2,1,406.6216216216216,0,0,0,0,8.0,0,1,0,1,1,1,0,0,2013,139.08333333333334,4,0.8,80.0,121.6,0.6295671725688589,121
1,0,403.5405405405405,0,0,1,0,7.3,0,1,0,1,1,0,0,0,2013,145.41666666666666,4,0.8333333333333334,131.0,117.6,0.5744800449690838,80
3,0,404.0,0,0,0,0,7.3,0,0,0,1,1,1,0,0,2014,113.3,1,0.2,128.0,116.4,0.7490549054905491,131
2,0,462.0,0,0,1,0,9.8,0,0,0,1,1,1,0,0,2014,113.3,1,0.23333333333333334,129.0,117.8,1.0055805580558057,128
1,1,435.0,0,0,1,0,10.9,0,0,0,1,1,0,1,0,2014,115.46666666666667,1,0.26666666666666666,87.0,111.0,1.1184518451845185,129
4,0,440.0,0,1,0,0,5.1,2,0,0,1,1,0,0,0,2014,113.3,1,0.3,129.0,120.8,0.5233123312331233,87
3,1,376.0,0,0,0,0,5.8,0,0,0,1,1,1,0,1,2014,113.3,1,0.43333333333333335,134.0,121.4,0.5951395139513951,129
2,0,450.0,0,0,1,0,2.9,0,0,0,1,1,0,0,0,2014,115.28571428571429,1,0.4666666666666667,107.0,117.2,0.29756975697569754,134
1,0,415.0,0,0,0,0,7.0,0,0,0,1,1,0,0,0,2014,113.3,1,0.5,85.0,108.4,0.7182718271827183,107
4,1,430.0,2,0,0,0,7.8,2,0,0,1,0,0,0,0,2014,116.2,1,0.5333333333333333,126.0,116.2,0.8003600360036004,85
0,1,375.0,0,0,0,0,6.5,1,0,0,1,1,0,0,0,2014,113.3,1,0.6333333333333333,129.0,116.2,0.666966696669667,126
3,1,447.0,0,0,0,0,10.4,0,0,0,1,1,0,0,0,2014,115.28571428571429,1,0.6666666666666666,126.0,114.6,1.0671467146714673,129
2,1,426.0,0,0,0,0,7.4,0,0,0,1,1,0,0,0,2014,113.3,1,0.7,107.0,114.6,0.7593159315931594,126
1,0,400.0,0,0,0,0,8.5,0,0,0,1,1,0,0,0,2014,113.3,1,0.7333333333333333,92.0,116.0,0.8721872187218722,107
4,1,418.0,0,0,0,0,10.1,2,0,0,0,1,0,0,0,2014,115.46666666666667,1,0.7666666666666667,126.0,116.0,1.0363636363636364,92
0,1,415.0,0,0,0,0,5.1,1,0,0,1,1,0,0,0,2014,116.2,1,0.8666666666666667,120.0,114.2,0.5233123312331233,126
3,0,445.0,0,0,0,0,12.6,0,0,0,1,1,0,0,0,2014,116.2,1,0.9,121.0,113.2,1.2928892889288928,120
2,1,450.0,0,0,0,0,10.3,0,0,0,1,1,1,0,0,2014,115.46666666666667,1,0.9333333333333333,105.0,112.8,1.056885688568857,121
1,1,448.0,0,0,1,0,15.3,0,0,0,1,1,0,0,0,2014,115.28571428571429,1,0.9666666666666667,92.0,112.8,1.5699369936993701,105
4,1,460.0,0,0,0,0,14.1,2,0,0,1,1,0,0,0,2014,115.28571428571429,1,1.0,139.0,115.4,1.4468046804680468,92
0,1,445.0,0,0,0,0,15.9,1,0,0,1,1,2,0,0,2014,103.45454545454545,1,0.06666666666666667,121.0,115.6,1.6315031503150315,139
3,1,430.0,0,0,2,0,3.8,0,0,0,1,1,0,0,0,2014,109.9375,1,0.1,126.0,116.6,0.3899189918991899,121
2,1,420.0,0,0,0,0,3.0,0,0,0,1,1,1,0,0,2014,109.92857142857143,1,0.13333333333333333,111.0,117.8,0.30783078307830786,126
1,1,435.0,0,0,1,0,4.2,0,0,0,1,1,0,0,0,2014,109.92857142857143,1,0.16666666666666666,91.0,117.6,0.430963096309631,111
4,1,425.0,0,0,0,0,5.5,2,0,0,1,1,1,1,0,2014,109.92857142857143,1,0.2,137.0,117.2,0.5643564356435644,91
0,0,423.0,0,1,1,0,7.8,1,0,0,1,1,1,0,0,2014,103.45454545454545,1,0.3,111.0,115.2,0.8003600360036004,137
2,0,415.0,0,0,1,0,6.3,0,0,0,1,1,1,0,1,2014,106.9375,1,0.36666666666666664,84.0,106.8,0.6464446444644464,111
1,0,438.0,0,0,1,0,6.4,0,0,0,1,1,2,0,0,2014,109.9375,1,0.4,86.0,101.8,0.6567056705670568,84
4,1,432.0,0,0,2,0.5,1.2,2,0,0,1,1,0,0,0,2014,103.45454545454545,1,0.43333333333333335,137.0,111.0,0.12313231323132313,86
0,1,416.0,0,0,0,0,11.6,1,0,0,1,1,0,0,0,2014,106.9375,1,0.5333333333333333,99.0,103.4,1.1902790279027902,137
3,0,426.0,0,0,0,0,6.8,0,0,0,1,1,1,0,0,2014,103.45454545454545,1,0.5666666666666667,113.0,103.8,0.6977497749774978,99
2,0,405.0,0,0,1,0,7.3,0,0,0,1,1,1,0,0,2014,109.92857142857143,1,0.6,85.0,104.0,0.7490549054905491,113
1,1,426.0,0,0,1,0,5.4,0,0,0,1,1,0,0,0,2014,109.9375,1,0.6333333333333333,113.0,109.4,0.5540954095409542,85
4,0,410.0,2,0,0,0,8.5,2,0,0,0,0,1,0,0,2014,103.45454545454545,1,0.6666666666666666,129.0,107.8,0.8721872187218722,113
0,1,408.0,0,0,1,0,6.6,1,0,0,1,1,0,0,0,2014,103.45454545454545,1,0.7666666666666667,104.0,108.8,0.6772277227722772,129
3,0,396.0,0,0,0,0,10.5,0,0,0,1,1,0,0,0,2014,103.45454545454545,1,0.8,104.0,107.0,1.0774077407740774,104
2,0,384.0,0,0,0,0,11.5,0,0,0,1,1,2,0,0,2014,103.45454545454545,1,0.8333333333333334,90.0,108.0,1.18001800180018,104
1,1,436.0,0,0,2,0,8.5,0,0,0,1,1,0,0,0,2014,106.9375,1,0.8666666666666667,69.0,99.2,0.8721872187218722,90
4,0,428.0,0,0,0,0,17.7,2,0,0,1,1,1,0,0,2014,109.92857142857143,1,0.9,131.0,99.6,1.8162016201620161,69
0,0,407.0,0,0,1,0,7.8,1,0,0,1,1,0,0,0,2014,88.13333333333334,1,0.06666666666666667,100.0,98.8,0.8003600360036004,131
3,1,413.0,0,0,0,0,8.3,0,0,0,1,1,2,0,0,2014,86.85714285714286,1,0.1,110.0,100.0,0.8516651665166517,100
2,1,393.0,0,0,2,1.5,6.1,0,0,0,1,1,0,0,0,2014,92.76923076923077,1,0.13333333333333333,77.0,97.4,0.6259225922592259,110
1,0,409.0,0,0,0,0,6.7,0,0,0,1,1,0,0,0,2014,88.13333333333334,1,0.16666666666666666,73.0,98.2,0.6874887488748875,77
4,1,396.0,0,0,0,0,7.0,2,0,0,1,1,1,1,0,2014,88.13333333333334,1,0.2,123.0,96.6,0.7182718271827183,73
0,0,385.0,0,1,1,0,7.6,1,0,0,1,1,0,0,0,2014,92.76923076923077,1,0.3,89.0,94.4,0.7798379837983798,123
3,0,397.0,0,0,0,0,8.7,0,0,0,1,1,0,0,1,2014,86.85714285714286,1,0.3333333333333333,68.0,86.0,0.8927092709270926,89
2,0,370.0,0,0,0,0,14.8,0,0,0,1,1,2,0,0,2014,92.76923076923077,1,0.36666666666666664,80.0,86.6,1.5186318631863187,68
1,1,372.0,0,0,2,0.5,15.2,0,0,0,1,1,1,0,0,2014,89.83333333333333,1,0.4,70.0,86.0,1.5596759675967595,80
4,1,360.0,2,0,1,0,11.5,2,0,0,1,0,0,0,0,2014,86.85714285714286,1,0.43333333333333335,129.0,87.2,1.18001800180018,70
0,0,382.0,0,0,0,0,14.0,1,0,0,1,1,0,0,0,2014,86.85714285714286,1,0.5333333333333333,90.0,87.4,1.4365436543654366,129
3,1,400.0,0,0,0,0,18.9,0,0,0,1,1,1,0,0,2014,89.83333333333333,1,0.5666666666666667,72.0,88.2,1.9393339333933393,90
2,1,392.0,0,0,1,0,12.6,0,0,0,1,1,2,0,0,2014,92.76923076923077,1,0.6,100.0,92.2,1.2928892889288928,72
1,1,372.0,1,0,2,0.5,7.5,0,0,0,1,0,0,0,0,2014,88.13333333333334,1,0.6333333333333333,102.0,98.6,0.7695769576957696,100
0,0,350.0,0,0,0,0,17.4,1,0,0,1,1,0,0,0,2014,92.76923076923077,1,0.7666666666666667,77.0,88.2,1.7854185418541852,102
3,0,407.0,0,0,0,0,18.9,0,0,0,1,1,1,0,0,2014,86.85714285714286,1,0.8,51.0,80.4,1.9393339333933393,77
2,0,392.0,0,0,1,0,18.7,0,0,0,1,1,1,0,0,2014,92.76923076923077,1,0.8333333333333334,55.0,77.0,1.9188118811881187,51
1,1,315.0,0,0,1,1.5,12.4,0,0,0,1,1,0,0,0,2014,92.76923076923077,1,0.8666666666666667,106.0,78.2,1.2723672367236725,55
4,0,406.7826086956522,0,0,0,0,18.5,2,1,1,0,1,0,0,0,2014,86.85714285714286,1,0.9,84.0,74.6,1.8982898289828982,106
0,0,349.0,0,0,0,0,17.5,1,0,0,1,1,1,0,0,2014,88.13333333333334,1,1.0,125.0,84.2,1.7956795679567956,84
3,1,377.0,0,0,1,0,16.1,0,0,0,1,1,1,0,0,2014,83.25,2,0.0,99.0,93.8,0.7310678189541525,125
2,0,380.0,0,0,1,0,18.2,0,0,0,1,1,2,0,0,2014,89.66666666666667,2,0.03333333333333333,100.0,102.8,0.8264244909916506,99
1,1,390.0,0,0,2,1,14.3,0,0,0,1,1,0,0,0,2014,83.6470588235294,2,0.06666666666666667,90.0,99.6,0.649333528636297,100
4,1,350.0,0,0,0,0,17.8,2,0,0,1,1,0,0,0,2014,83.6470588235294,2,0.1,107.0,104.2,0.8082613153654605,90
0,0,387.0,0,0,0,0,13.8,1,0,0,1,1,0,0,0,2014,86.15789473684211,2,0.2,96.0,98.4,0.6266295591035593,107
3,1,353.0,0,0,0,0,20.1,0,0,0,1,1,0,0,0,2014,89.66666666666667,2,0.23333333333333334,88.0,96.2,0.9126995752160538,96
2,1,376.0,0,0,0,0,19.0,0,0,0,1,1,0,1,0,2014,83.25,2,0.26666666666666666,87.0,93.6,0.8627508422440309,88
1,0,362.0,0,1,0,0,21.3,0,0,0,1,1,0,0,0,2014,89.66666666666667,2,0.3,128.0,101.2,0.9671891020946242,87
4,1,406.7826086956522,0,0,0,0,16.5,2,1,1,0,1,0,0,1,2014,83.25,2,0.3333333333333333,92.0,98.2,0.7492309945803426,128
0,0,340.0,0,0,0,0,16.4,1,0,0,1,1,0,0,0,2014,83.25,2,0.43333333333333335,82.0,95.4,0.744690200673795,92
3,0,370.0,0,0,0,0,19.7,0,0,0,1,1,1,0,0,2014,83.25,2,0.4666666666666667,57.0,89.2,0.8945363995898635,82
2,0,330.0,0,0,1,0,21.5,0,0,0,1,1,0,0,0,2014,89.66666666666667,2,0.5,57.0,83.2,0.9762706899077191,57
1,0,333.0,0,0,0,0,20.1,0,0,0,1,1,1,0,0,2014,86.15789473684211,2,0.5333333333333333,56.0,68.8,0.9126995752160538,57
4,1,325.0,2,0,1,0,11.4,2,0,0,1,0,1,0,0,2014,83.25,2,0.5666666666666667,109.0,72.2,0.5176505053464185,56
0,0,375.0,1,0,1,0,16.4,1,0,0,1,0,1,0,0,2014,83.6470588235294,2,0.6666666666666666,78.0,71.4,0.744690200673795,109
3,1,382.0,0,0,1,0,18.8,0,0,0,1,1,0,0,0,2014,83.25,2,0.7,63.0,72.6,0.8536692544309359,78
2,0,340.0,0,0,0,0,19.4,0,0,0,1,1,0,0,0,2014,89.66666666666667,2,0.7333333333333333,56.0,72.4,0.880914017870221,63
1,1,360.0,0,0,0,0,19.9,0,0,0,1,1,0,0,0,2014,83.25,2,0.7666666666666667,80.0,77.2,0.9036179874029586,56
4,0,406.7826086956522,0,0,0,0,20.8,2,1,0,0,1,0,0,0,2014,83.6470588235294,2,0.8,54.0,66.2,0.9444851325618865,80
