week,soldout,kcal,remarks,event,payday,weather,precipitation,temperature,kcal_isna,remarks_isna,event_isna,holiday,payday_before1,payday_after1,weather_before1,sale_before1,moving_avg,quarter,month,day,quarter_y_maen,name,y
0,0,398.9705882352941,0,0,0,0,0,19.8,1,1,1,2,0,0,0.0,101.0,86.6231884057971,4,131.66666666666666,0.5666666666666667,134.32142857142858,76,90
3,1,406.7142857142857,0,0,0,0,0,17.0,1,1,1,0,0,0,0.0,118.0,86.6231884057971,4,131.66666666666666,0.6,134.32142857142858,89,101
2,0,406.6216216216216,0,0,0,0,0,15.5,1,1,1,0,0,0,0.0,120.0,86.6231884057971,4,122.125,0.6333333333333333,134.32142857142858,109,118
1,1,403.5405405405405,0,0,0,0,0,15.2,1,1,1,0,0,0,0.0,130.0,86.6231884057971,4,131.66666666666666,0.6666666666666666,134.32142857142858,116,120
4,1,406.7826086956522,0,0,0,0,0,16.1,1,1,1,1,0,0,1.0,135.0,111.8,4,120.14285714285714,0.7,134.32142857142858,53,130
0,1,398.9705882352941,0,0,0,1,0,14.6,1,1,1,2,0,0,0.0,145.0,120.8,4,120.14285714285714,0.8,134.32142857142858,143,135
3,0,406.7142857142857,0,0,0,0,0,17.9,1,1,1,0,0,0,0.0,140.0,129.6,4,131.66666666666666,0.8333333333333334,134.32142857142858,119,145
2,1,406.6216216216216,0,0,0,0,0,14.7,1,1,1,0,0,0,1.0,151.0,134.0,4,120.14285714285714,0.8666666666666667,134.32142857142858,60,140
1,0,403.5405405405405,0,0,0,1,0,17.7,1,1,1,0,0,0,0.0,116.0,140.2,4,122.125,0.9,134.32142857142858,46,151
4,0,406.7826086956522,0,0,0,0,0,12.1,1,1,1,1,0,0,0.0,151.0,137.4,4,125.55555555555556,0.9333333333333333,134.32142857142858,30,116
0,1,398.9705882352941,0,0,0,0,0,13.8,1,1,1,2,0,0,0.0,153.0,140.6,4,145.41666666666666,0.03333333333333333,134.32142857142858,67,151
3,1,406.7142857142857,0,0,0,0,0,13.9,1,1,1,0,0,0,0.0,151.0,142.2,4,134.5,0.06666666666666667,134.32142857142858,79,153
