week,soldout,kcal,remarks,event,payday,weather,precipitation,temperature,kcal_isna,remarks_isna,event_isna,holiday,payday_before1,payday_after1,weather_before1,sale_before1,moving_avg,quarter,month,day,y
0,0,398.9705882352941,0,0,0,0,0,19.8,1,1,1,2,0,0,0.0,101.0,86.6231884057971,4,131.66666666666666,0.5666666666666667,90
3,1,406.7142857142857,0,0,0,0,0,17.0,1,1,1,0,0,0,0.0,118.0,86.6231884057971,4,131.66666666666666,0.6,101
2,0,406.6216216216216,0,0,0,0,0,15.5,1,1,1,0,0,0,0.0,120.0,86.6231884057971,4,122.125,0.6333333333333333,118
1,1,403.5405405405405,0,0,0,0,0,15.2,1,1,1,0,0,0,0.0,130.0,86.6231884057971,4,131.66666666666666,0.6666666666666666,120
4,1,406.7826086956522,0,0,0,0,0,16.1,1,1,1,1,0,0,1.0,135.0,111.8,4,120.14285714285714,0.7,130
0,1,398.9705882352941,0,0,0,1,0,14.6,1,1,1,2,0,0,0.0,145.0,120.8,4,120.14285714285714,0.8,135
3,0,406.7142857142857,0,0,0,0,0,17.9,1,1,1,0,0,0,0.0,140.0,129.6,4,131.66666666666666,0.8333333333333334,145
2,1,406.6216216216216,0,0,0,0,0,14.7,1,1,1,0,0,0,1.0,151.0,134.0,4,120.14285714285714,0.8666666666666667,140
1,0,403.5405405405405,0,0,0,1,0,17.7,1,1,1,0,0,0,0.0,116.0,140.2,4,122.125,0.9,151
4,0,406.7826086956522,0,0,0,0,0,12.1,1,1,1,1,0,0,0.0,151.0,137.4,4,125.55555555555556,0.9333333333333333,116
0,1,398.9705882352941,0,0,0,0,0,13.8,1,1,1,2,0,0,0.0,153.0,140.6,4,145.41666666666666,0.03333333333333333,151
3,1,406.7142857142857,0,0,0,0,0,13.9,1,1,1,0,0,0,0.0,151.0,142.2,4,134.5,0.06666666666666667,153
2,1,406.6216216216216,0,0,0,0,0,13.5,1,1,1,0,0,0,0.0,171.0,144.4,4,139.08333333333334,0.1,151
1,0,403.5405405405405,0,0,0,0,0,13.8,1,1,1,0,0,0,0.0,134.0,148.4,4,134.5,0.13333333333333333,171
4,0,406.7826086956522,0,0,0,0,0,14.9,1,1,1,1,0,0,1.0,165.0,152.0,4,145.41666666666666,0.16666666666666666,134
0,1,398.9705882352941,0,0,0,1,0,9.1,1,1,1,2,1,0,1.0,155.0,154.8,4,139.08333333333334,0.26666666666666666,165
3,0,406.7142857142857,0,0,1,1,0.5,7.1,1,1,1,0,0,0,1.0,157.0,155.2,4,139.08333333333334,0.3,155
2,0,406.6216216216216,0,0,0,1,0,11.0,1,1,1,0,0,1,0.0,109.0,156.4,4,134.5,0.3333333333333333,157
1,0,403.5405405405405,0,0,0,0,0,12.3,1,1,1,0,0,0,0.0,111.0,144.0,4,139.08333333333334,0.36666666666666664,109
4,1,406.7826086956522,0,0,0,0,0,13.9,1,1,1,1,0,0,0.0,160.0,139.4,4,145.41666666666666,0.4,111
