y,week,soldout,remarks,payday,weather,precipitation,temperature,month,quarter,day,carry,moving_avg,kcal,event_remarks,mean_tem,before1day_weather,before_1day_y
131,3,0,0,0.0,0,0,7.3,1,1,0.2,0,79.1712643678161,404.0,0,0.7490549054905491,1.0,79.16201117318435
128,2,0,0,0.0,2,0,9.8,1,1,0.23333333333333334,0,79.1712643678161,462.0,0,1.0055805580558057,0.0,131.0
129,1,1,0,0.0,2,0,10.9,1,1,0.26666666666666666,0,79.1712643678161,435.0,0,1.1184518451845185,2.0,128.0
87,4,0,0,1.0,0,0,5.1,1,1,0.3,0,79.1712643678161,440.0,0,0.5233123312331233,2.0,129.0
129,3,1,0,0.0,1,0,5.8,1,1,0.43333333333333335,0,79.1712643678161,376.0,0,0.5951395139513951,0.0,87.0
134,2,0,0,0.0,2,0,2.9,1,1,0.4666666666666667,0,120.8,450.0,0,0.29756975697569754,1.0,129.0
107,1,0,0,0.0,0,0,7.0,1,1,0.5,0,121.4,415.0,0,0.7182718271827183,2.0,134.0
85,4,1,0,0.0,0,0,7.8,1,1,0.5333333333333333,0,117.2,430.0,0,0.8003600360036004,0.0,107.0
126,0,1,0,0.0,1,0,6.5,1,1,0.6333333333333333,0,108.4,375.0,0,0.666966696669667,0.0,85.0
129,3,1,0,0.0,0,0,10.4,1,1,0.6666666666666666,0,116.2,447.0,0,1.0671467146714673,1.0,126.0
126,2,1,0,0.0,0,0,7.4,1,1,0.7,1,116.2,426.0,0,0.7593159315931594,0.0,129.0
107,1,0,0,0.0,0,0,8.5,1,1,0.7333333333333333,0,114.6,400.0,0,0.8721872187218722,0.0,126.0
92,4,1,0,0.0,0,0,10.1,1,1,0.7666666666666667,1,114.6,418.0,0,1.0363636363636364,0.0,107.0
126,0,1,0,0.0,0,0,5.1,1,1,0.8666666666666667,0,116.0,415.0,0,0.5233123312331233,0.0,92.0
120,3,0,0,0.0,0,0,12.6,1,1,0.9,0,116.0,445.0,0,1.2928892889288928,0.0,126.0
121,2,1,0,0.0,0,0,10.3,1,1,0.9333333333333333,0,114.2,450.0,0,1.056885688568857,0.0,120.0
